idCWE;nombre_en;descripcion_en;nombre;descripcion
5;J2EE Misconfiguration: Data Transmission Without Encryption;Information sent over a network can be compromised while in transit. An attacker may be able to read or modify the contents if the data are sent in plaintext or are weakly encrypted.;J2EE Configuración errónea: transmisión de datos sin cifrado;La información enviada a través de una red puede verse comprometida mientras está en tránsito.Un atacante puede leer o modificar el contenido si los datos se envían en texto sin formato o están débilmente encriptados.
6;J2EE Misconfiguration: Insufficient Session-ID Length;The J2EE application is configured to use an insufficient session ID length.;J2EE Configuración errónea: longitud insuficiente de ID de sesión;La aplicación J2EE está configurada para usar una longitud de ID de sesión insuficiente.
7;J2EE Misconfiguration: Missing Custom Error Page;The default error page of a web application should not display sensitive information about the product.;J2EE Configuración errónea: Página de error personalizado faltante;La página de error predeterminada de una aplicación web no debe mostrar información confidencial sobre el producto.
8;J2EE Misconfiguration: Entity Bean Declared Remote;When an application exposes a remote interface for an entity bean, it might also expose methods that get or set the bean's data. These methods could be leveraged to read sensitive information, or to change data in ways that violate the application's expectations, potentially leading to other vulnerabilities.;J2EE Configuración errónea: Entity Bean declarado remoto;Cuando una aplicación expone una interfaz remota para un bean de entidad, también puede exponer métodos que obtienen o establecen los datos del bean.Estos métodos podrían aprovecharse para leer información confidencial o cambiar los datos de manera que violen las expectativas de la aplicación, lo que puede conducir a otras vulnerabilidades.
9;J2EE Misconfiguration: Weak Access Permissions for EJB Methods;If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the product.;J2EE Configuración errónea: permisos de acceso débil para los métodos EJB;Si se asignan derechos de acceso elevados a los métodos EJB, entonces un atacante puede aprovechar los permisos para explotar el producto.
11;ASP.NET Misconfiguration: Creating Debug Binary;Debugging messages help attackers learn about the system and plan a form of attack.;ASP.NET Configuración errónea: Creación de depuración binaria;Los mensajes de depuración ayudan a los atacantes a aprender sobre el sistema y a planificar una forma de ataque.
12;ASP.NET Misconfiguration: Missing Custom Error Page;An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.;ASP.NET Configuración errónea: página de error personalizada faltante;Una aplicación ASP .NET debe habilitar las páginas de error personalizadas para evitar que los atacantes minera la información de las respuestas incorporadas del marco.
13;ASP.NET Misconfiguration: Password in Configuration File;Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.;ASP.NET Configuración errónea: contraseña en el archivo de configuración;El almacenamiento de una contraseña de texto sin formato en un archivo de configuración permite a cualquier persona que pueda leer el acceso al archivo al recurso protegido por contraseña, lo que los convierte en un objetivo fácil para los atacantes.
14;Compiler Removal of Code to Clear Buffers;Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka dead store removal.;Eliminación del compilador del código para borrar buffers;La memoria sensible se borra de acuerdo con el código fuente, pero las optimizaciones del compilador dejan la memoria intacta cuando no se lee nuevamente, también conocido como eliminación de la tienda Dead.
15;External Control of System or Configuration Setting;One or more system settings or configuration elements can be externally controlled by a user.;Control externo del sistema o configuración de configuración;Un usuario puede controlar externamente una o más configuraciones del sistema o elementos de configuración.
20;Improper Input Validation;The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly.;Validación de entrada incorrecta;El producto recibe entrada o datos, pero no valida ni valida incorrectamente que la entrada tiene las propiedades que se requieren para procesar los datos de manera segura y correcta.
22;Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal');The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.;Limitación inadecuada de un nombre de ruta a un directorio restringido ('Ruta transversal');El producto utiliza la entrada externa para construir un nombre de ruta que está destinado a identificar un archivo o directorio que se encuentra debajo de un directorio principal restringido, pero el producto no neutraliza correctamente elementos especiales dentro del nombre de ruta que puede hacer que el nombre de ruta se resuelva en una ubicación queestá fuera del directorio restringido.
23;Relative Path Traversal;The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory.;Patio de ruta relativa;El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente secuencias como ... que pueden resolver una ubicación que está fuera de ese directorio.
24;Path Traversal: '../filedir';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ../ sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '../filedir';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente .../ secuencias que pueden resolver una ubicación que está fuera de ese directorio.
25;Path Traversal: '/../filedir';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /../ sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '/../filedir';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente /../ secuencias que pueden resolver una ubicación que está fuera de ese directorio.
26;Path Traversal: '/dir/../filename';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /dir/../filename sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '/dir/../filename';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente /dir/../filename secuencias que pueden resolver a una ubicación que está fuera de ese directorio.
27;Path Traversal: 'dir/../../filename';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal ../ sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: 'dir /../../ nombre de archivo';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente múltiples internos .../ secuencias que pueden resolver a una ubicación que está fuera de ese directorio.
28;Path Traversal: '..filedir';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize .. sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '.. Filedir';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente ... secuencias que pueden resolver a una ubicación que está fuera de ese directorio.
29;Path Traversal: '..filename';The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.;Traversal de ruta: '..filename';El producto utiliza la entrada externa para construir un nombre de ruta que debe estar dentro de un directorio restringido, pero no neutraliza correctamente las secuencias '..filename' (Dot Dot Dot) que puede resolverse en una ubicación que está fuera de ese directorio.
